"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.078536764E2,3.655633926E0,2.509031105E1,4.482701111E1,5.150095429E1
1.078637254E2,3.639476776E0,2.509736443E1,4.478638458E1,5.146789034E1
1.078737754E2,3.661338806E0,2.507568359E1,4.481061554E1,5.147996285E1
1.078838244E2,3.627935410E0,2.511867905E1,4.486063004E1,5.154208067E1
1.078938734E2,3.632162094E0,2.522710800E1,4.475114441E1,5.150014083E1
1.079039234E2,3.654760361E0,2.523502159E1,4.461176300E1,5.138455980E1
1.079139724E2,3.666103363E0,2.517687607E1,4.480907440E1,5.152832766E1
1.079240214E2,3.685400009E0,2.513201141E1,4.499906540E1,5.167316574E1
1.079340714E2,3.691558838E0,2.508341599E1,4.485440063E1,5.152400043E1
1.079441204E2,3.674743652E0,2.508499908E1,4.466394043E1,5.135784745E1
1.079541694E2,3.671670914E0,2.510274124E1,4.440806198E1,5.114396107E1
1.079642194E2,3.651868820E0,2.517093849E1,4.432166672E1,5.110110010E1
1.079742684E2,3.601181030E0,2.517443275E1,4.433365631E1,5.110962386E1
1.079843174E2,3.581155777E0,2.517683601E1,4.452396393E1,5.127456594E1
1.079943674E2,3.566276550E0,2.520900154E1,4.462546921E1,5.137747161E1
1.080044164E2,3.572673798E0,2.525146103E1,4.462725449E1,5.140031250E1
1.080144654E2,3.550958633E0,2.522238159E1,4.460508728E1,5.136527671E1
1.080245144E2,3.605798721E0,2.514763641E1,4.470962143E1,5.142329871E1
1.080345644E2,3.616079330E0,2.516170883E1,4.500543976E1,5.168826974E1
1.080446134E2,3.693464279E0,2.522387505E1,4.507212067E1,5.178205879E1
1.080546624E2,3.673561096E0,2.524595642E1,4.500271606E1,5.173101410E1
1.080647124E2,3.632692337E0,2.524235153E1,4.487092972E1,5.161175349E1
1.080747614E2,3.592252731E0,2.525957680E1,4.470549774E1,5.147360516E1
1.080848104E2,3.582981110E0,2.532841492E1,4.456293488E1,5.138308594E1
1.080948604E2,3.555421829E0,2.529048920E1,4.466763687E1,5.145335414E1
1.081049094E2,3.603368759E0,2.529394150E1,4.478555298E1,5.156077481E1
1.081149584E2,3.591449738E0,2.523395920E1,4.477893066E1,5.152478859E1
1.081250084E2,3.553245544E0,2.523122978E1,4.474493027E1,5.149125455E1
1.081350574E2,3.562044144E0,2.518072128E1,4.474007797E1,5.146291344E1
1.081451064E2,3.573783875E0,2.516316795E1,4.462099075E1,5.135162868E1
1.081551564E2,3.579427719E0,2.522785950E1,4.454763794E1,5.132006668E1
1.081652054E2,3.601850510E0,2.521030426E1,4.478268433E1,5.151719697E1
1.081752544E2,3.598386765E0,2.524831581E1,4.495638275E1,5.168657648E1
1.081853044E2,3.565023422E0,2.528888130E1,4.492720032E1,5.167872133E1
1.081953534E2,3.565122604E0,2.523592377E1,4.487051392E1,5.160353638E1
1.082054024E2,3.549160004E0,2.523221588E1,4.480445099E1,5.154318659E1
1.082154524E2,3.552911758E0,2.520311737E1,4.491780853E1,5.162780095E1
1.082255014E2,3.651994705E0,2.518956184E1,4.486918640E1,5.158580211E1
1.082355504E2,3.653057098E0,2.517345619E1,4.482766724E1,5.154190017E1
1.082456004E2,3.669952393E0,2.517627335E1,4.485591125E1,5.156904173E1
1.082556494E2,3.678941727E0,2.517271042E1,4.496570587E1,5.166347517E1
1.082656984E2,3.634321213E0,2.523863220E1,4.499055862E1,5.171409103E1
1.082757484E2,3.586221695E0,2.533233261E1,4.489975739E1,5.167761870E1
1.082857974E2,3.532993317E0,2.544939613E1,4.468901062E1,5.154863214E1
