"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.135306083E0,1.186054230E0,2.306527901E1,-4.087201691E1,4.694609234E1
3.145355083E0,1.221758842E0,2.307435608E1,-4.090052795E1,4.697628966E1
3.155404083E0,1.193660736E0,2.306805420E1,-4.088720703E1,4.696087360E1
3.165453083E0,1.199865341E0,2.306689262E1,-4.094091797E1,4.700723323E1
3.175502083E0,1.234619141E0,2.309529305E1,-4.094465637E1,4.702533073E1
3.185551083E0,1.219152451E0,2.301977158E1,-4.088955688E1,4.693987727E1
3.195600083E0,1.196466446E0,2.298539543E1,-4.089830017E1,4.693006384E1
3.205649083E0,1.196744919E0,2.303225517E1,-4.085665894E1,4.691677265E1
3.215698083E0,1.130498886E0,2.313924026E1,-4.088965607E1,4.699645137E1
3.225747083E0,1.120289803E0,2.318054962E1,-4.083053589E1,4.696515294E1
3.235796083E0,1.147544861E0,2.316212463E1,-4.087895203E1,4.699882547E1
3.245845083E0,1.209510803E0,2.308802414E1,-4.092570496E1,4.700460723E1
3.255894083E0,1.265396118E0,2.311430740E1,-4.093517303E1,4.702723493E1
3.265943083E0,1.197718620E0,2.308585358E1,-4.094467926E1,4.701976101E1
3.275992083E0,1.181021690E0,2.310871315E1,-4.097103119E1,4.705351031E1
3.286042083E0,1.190242767E0,2.309671783E1,-4.103614807E1,4.710456985E1
3.296091083E0,1.186033249E0,2.306740952E1,-4.098735809E1,4.704758846E1
3.306140083E0,1.165754318E0,2.313590622E1,-4.091616821E1,4.701874053E1
